Paracetamol,
1481.09,3441.9
1482.9,3383.9
1484.72,3390.2
1486.54,3358.4
1488.35,3423.9
1490.17,3396.9
1491.98,3478.7
1493.79,3610.7
1495.61,3722.9
1497.42,3927.6
1499.23,4330.6
1501.04,4961.4
1502.85,5575.4
1504.66,5729.3
1506.47,5266.5
1508.28,5103.4
1510.08,5673.3
1511.89,6332.1
1513.69,6437.1
1515.5,5433.7
1517.3,4617.2
1519.1,4117.0
1520.91,3833.3
1522.71,3652.3
1524.51,3607.0
1526.31,3582.2
1528.11,3567.0
1529.91,3603.1
1531.71,3554.5
1533.5,3638.2
1535.3,3864.7
1537.1,3881.9
1538.89,4080.3
1540.69,4304.6
1542.48,4646.9
1544.27,5056.2
1546.06,5769.2
1547.86,6645.1
1549.65,7965.7
1551.44,9535.7
1553.23,11375.4
1555.01,13407.2
1556.8,14898.1
1558.59,15450.3
1560.38,14977.0
1562.16,14153.3
1563.95,12584.6
1565.73,11000.4
1567.51,9414.2
1569.3,7994.1
1571.08,6936.1
1572.86,6151.8
1574.64,5573.0
1576.42,5227.4
1578.2,4996.6
1579.98,4819.1
1581.76,4812.6
1583.53,4817.6
1585.31,4978.9
1587.09,5137.7
1588.86,5407.8
1590.64,5769.6
1592.41,6404.8
1594.18,7176.0
1595.95,8467.2
1597.73,10253.6
1599.5,12539.9
1601.27,15718.5
1603.03,20299.5
1604.8,25655.8
1606.57,30328.2
1608.34,31134.4
1610.1,28261.5
1611.87,26175.7
1613.64,26389.8
1615.4,27467.3
1617.16,26237.9
1618.93,22240.5
1620.69,16785.3
1622.45,12183.3
1624.21,9643.1
1625.97,8385.8
1627.73,7825.0
1629.49,7768.5
1631.25,8020.6
1633.0,8784.4
1634.76,9620.9
1636.52,10839.7
1638.27,12748.2
1640.02,15191.8
1641.78,18988.8
1643.53,23379.9
1645.28,25941.0
1647.03,25527.5
1648.79,21965.6
1650.54,19099.9
1652.29,17502.9
1654.03,16465.8
1655.78,14508.2
1657.53,11539.3
1659.28,8699.5
1661.02,6814.2
1662.77,5695.2
1664.51,5036.8
1666.26,4556.4
1668.0,4166.6
1669.74,3820.5
1671.48,3731.8
1673.22,3476.2
1674.96,3275.5
1676.7,3191.4
1678.44,2990.9
1680.18,2909.3
1681.92,2919.6
1683.65,2778.5
1685.39,2704.9
1687.13,2661.4
1688.86,2614.3
1690.59,2572.9
1692.33,2612.3
1694.06,2561.4
1695.79,2538.0
1697.52,2545.0
1699.25,2485.1
1700.98,2459.7
1702.71,2377.1
1704.44,2420.6
1706.17,2370.5
1707.9,2327.7
1709.62,2385.1
1711.35,2436.4
1713.07,2346.8
1714.8,2422.7
1716.52,2309.4
1718.25,2312.9
1719.97,2300.3
1721.69,2305.3
1723.41,2228.4
1725.13,2272.3
1726.85,2270.1
1728.57,2379.4
1730.29,2290.6
1732.0,2224.5
