N,N - Dimethylformahide
cm^-1,Intensity
757.0,1695.5675048828125
758.0,1695.6251220703125
759.0,1698.2069091796875
760.0,1703.6806640625
761.0,1710.870849609375
762.0,1717.682861328125
763.0,1722.6156005859375
764.0,1725.5396728515625
765.0,1727.043701171875
766.0,1727.5020751953125
767.0,1727.0968017578125
768.0,1726.3275146484375
769.0,1725.8179931640625
770.0,1725.6141357421875
771.0,1725.3251953125
772.0,1725.2266845703125
773.0,1726.6109619140625
774.0,1730.3521728515625
775.0,1735.3099365234375
776.0,1738.935546875
777.0,1739.753173828125
778.0,1738.7921142578125
779.0,1738.2508544921875
780.0,1739.1822509765625
781.0,1741.0240478515625
782.0,1743.0833740234375
783.0,1745.54931640625
784.0,1748.6715087890625
785.0,1751.6226806640625
786.0,1753.05078125
787.0,1752.8404541015625
788.0,1752.7799072265625
789.0,1755.15673828125
790.0,1760.8770751953125
791.0,1769.09765625
792.0,1778.38134765625
793.0,1787.8292236328125
794.0,1797.2166748046875
795.0,1806.54736328125
796.0,1815.73095703125
797.0,1824.4683837890625
798.0,1832.2330322265625
799.0,1838.5555419921875
800.0,1843.6181640625
801.0,1848.3887939453125
802.0,1853.598388671875
803.0,1858.3182373046875
804.0,1859.970458984375
805.0,1856.4066162109373
806.0,1848.2081298828125
807.0,1838.692626953125
808.0,1831.4398193359373
809.0,1827.870849609375
810.0,1827.2423095703125
811.0,1828.5966796875
812.0,1832.15185546875
813.0,1838.6243896484373
814.0,1847.537353515625
815.0,1856.5849609375
816.0,1862.77197265625
817.0,1864.2640380859373
818.0,1861.54150390625
819.0,1857.2637939453125
820.0,1854.962646484375
821.0,1857.044921875
822.0,1863.121337890625
823.0,1870.1004638671875
824.0,1874.58154296875
825.0,1875.9034423828125
826.0,1876.9681396484373
827.0,1881.6951904296875
828.0,1891.39501953125
829.0,1903.682861328125
830.0,1914.9471435546875
831.0,1923.610107421875
832.0,1930.853759765625
833.0,1938.6807861328125
834.0,1948.123291015625
835.0,1959.5869140625
836.0,1974.14453125
837.0,1993.3634033203125
838.0,2017.4442138671875
839.0,2044.0042724609373
840.0,2069.407958984375
841.0,2091.7373046875
842.0,2112.714111328125
843.0,2136.939453125
844.0,2169.297119140625
845.0,2212.8125
846.0,2268.74658203125
847.0,2338.857421875
848.0,2427.86083984375
849.0,2543.5927734375
850.0,2693.99853515625
851.0,2882.939208984375
852.0,3108.527587890625
853.0,3366.675537109375
854.0,3659.465087890625
855.0,4005.263916015625
856.0,4447.4541015625
857.0,5061.86376953125
858.0,5966.033203125
859.0,7328.45166015625
860.0,9358.5576171875
861.0,12242.4052734375
862.0,16005.36328125
863.0,20347.5
864.0,24570.482421875
865.0,27715.3125
866.0,28913.087890625
867.0,27781.5078125
868.0,24622.896484375
869.0,20286.30078125
870.0,15778.6552734375
871.0,11868.640625
872.0,8897.169921875
873.0,6835.06103515625
874.0,5469.330078125
875.0,4569.19140625
876.0,3961.988037109375
877.0,3537.686279296875
878.0,3229.6103515625
879.0,2998.4501953125
880.0,2821.75146484375
881.0,2685.33984375
882.0,2577.665283203125
883.0,2488.89697265625
884.0,2412.871826171875
885.0,2348.00830078125
886.0,2295.34326171875
887.0,2255.090087890625
888.0,2224.565185546875
889.0,2199.124267578125
890.0,2175.012451171875
891.0,2151.216552734375
892.0,2128.598876953125
893.0,2107.68896484375
894.0,2087.885498046875
895.0,2068.7294921875
896.0,2051.166015625
897.0,2036.8800048828125
898.0,2026.4737548828125
899.0,2018.7689208984373
900.0,2012.0252685546875
901.0,2005.5687255859373
902.0,2000.0634765625
903.0,1996.379638671875
904.0,1994.418212890625
905.0,1992.946533203125
906.0,1990.28125
907.0,1985.05810546875
908.0,1976.726806640625
909.0,1965.92822265625
910.0,1954.7003173828125
911.0,1945.90380859375
912.0,1941.5787353515625
913.0,1941.28125
914.0,1942.1597900390625
915.0,1941.114501953125
916.0,1937.0635986328125
917.0,1931.0748291015625
918.0,1924.5709228515625
919.0,1917.9962158203125
920.0,1911.38134765625
921.0,1905.51513671875
922.0,1901.70166015625
923.0,1900.2506103515625
924.0,1899.7943115234373
925.0,1898.549560546875
926.0,1896.1630859375
927.0,1894.0406494140625
928.0,1893.7998046875
929.0,1895.461669921875
930.0,1897.166259765625
931.0,1896.702880859375
932.0,1893.492431640625
933.0,1889.179931640625
934.0,1886.2091064453125
935.0,1885.7493896484373
936.0,1887.042236328125
937.0,1888.58544921875
938.0,1889.470947265625
939.0,1889.4287109375
940.0,1888.311279296875
941.0,1886.4771728515625
942.0,1885.535400390625
943.0,1887.4822998046875
944.0,1892.2645263671875
945.0,1896.68408203125
946.0,1896.6854248046875
947.0,1890.9820556640625
948.0,1882.21240234375
949.0,1874.7947998046875
950.0,1872.1053466796875
951.0,1875.164794921875
952.0,1882.5118408203125
953.0,1890.6221923828125
954.0,1895.5869140625
955.0,1895.9715576171875
956.0,1894.1605224609373
957.0,1893.9039306640625
958.0,1896.266357421875
959.0,1898.7960205078125
960.0,1899.004150390625
961.0,1897.638427734375
962.0,1897.5003662109373
963.0,1899.530029296875
964.0,1901.4610595703125
965.0,1900.841796875
966.0,1898.56787109375
967.0,1898.6168212890625
968.0,1904.4176025390625
969.0,1915.915283203125
970.0,1929.9752197265625
971.0,1942.974365234375
972.0,1952.8226318359373
973.0,1959.195556640625
974.0,1962.798095703125
975.0,1964.7930908203125
976.0,1966.53271484375
977.0,1969.1356201171875
978.0,1972.9146728515625
979.0,1977.2763671875
980.0,1981.472412109375
981.0,1985.6873779296875
982.0,1991.4107666015625
983.0,2000.4720458984373
984.0,2013.244873046875
985.0,2027.568603515625
