x_original,nm,cm^-1,intensity
937.50,914.43,1799.48,10694.00
937.44,914.39,1798.98,10669.00
937.39,914.35,1798.47,10682.00
937.34,914.31,1797.97,10660.00
937.29,914.27,1797.47,10714.00
937.24,914.22,1796.97,10676.00
937.18,914.18,1796.47,10634.00
937.13,914.14,1795.97,10688.00
937.08,914.10,1795.47,10646.00
937.03,914.06,1794.97,10656.00
936.98,914.01,1794.47,10624.00
936.92,913.97,1793.97,10656.00
936.87,913.93,1793.47,10707.00
936.82,913.89,1792.97,10623.00
936.77,913.85,1792.47,10693.00
936.72,913.80,1791.96,10685.00
936.66,913.76,1791.46,10605.00
936.61,913.72,1790.96,10655.00
936.56,913.68,1790.46,10651.00
936.51,913.64,1789.96,10612.00
936.45,913.59,1789.46,10614.00
936.40,913.55,1788.96,10689.00
936.35,913.51,1788.45,10647.00
936.30,913.47,1787.95,10609.00
936.25,913.43,1787.45,10670.00
936.19,913.38,1786.95,10628.00
936.14,913.34,1786.45,10608.00
936.09,913.30,1785.95,10636.00
936.04,913.26,1785.45,10629.00
935.99,913.22,1784.94,10745.00
935.93,913.18,1784.44,10575.00
935.88,913.13,1783.94,10643.00
935.83,913.09,1783.44,10598.00
935.78,913.05,1782.94,10669.00
935.73,913.01,1782.43,10671.00
935.67,912.97,1781.93,10605.00
935.62,912.92,1781.43,10654.00
935.57,912.88,1780.93,10710.00
935.52,912.84,1780.43,10687.00
935.46,912.80,1779.92,10663.00
935.41,912.76,1779.42,10658.00
935.36,912.71,1778.92,10666.00
935.31,912.67,1778.42,10666.00
935.26,912.63,1777.91,10654.00
935.20,912.59,1777.41,10628.00
935.15,912.55,1776.91,10636.00
935.10,912.50,1776.41,10676.00
935.05,912.46,1775.90,10660.00
935.00,912.42,1775.40,10648.00
934.94,912.38,1774.90,10717.00
934.89,912.34,1774.40,10693.00
934.84,912.29,1773.89,10682.00
934.79,912.25,1773.39,10695.00
934.74,912.21,1772.89,10715.00
934.68,912.17,1772.38,10710.00
934.63,912.13,1771.88,10618.00
934.58,912.08,1771.38,10665.00
934.53,912.04,1770.88,10702.00
934.48,912.00,1770.37,10626.00
934.42,911.96,1769.87,10594.00
934.37,911.92,1769.37,10584.00
934.32,911.87,1768.86,10720.00
934.27,911.83,1768.36,10689.00
934.21,911.79,1767.86,10728.00
934.16,911.75,1767.35,10612.00
934.11,911.71,1766.85,10688.00
934.06,911.67,1766.35,10634.00
934.01,911.62,1765.84,10653.00
933.95,911.58,1765.34,10683.00
933.90,911.54,1764.83,10618.00
933.85,911.50,1764.33,10644.00
933.80,911.46,1763.83,10689.00
933.75,911.41,1763.32,10641.00
933.69,911.37,1762.82,10683.00
933.64,911.33,1762.32,10636.00
933.59,911.29,1761.81,10653.00
933.54,911.25,1761.31,10685.00
933.49,911.20,1760.80,10661.00
933.43,911.16,1760.30,10647.00
933.38,911.12,1759.80,10664.00
933.33,911.08,1759.29,10605.00
933.28,911.04,1758.79,10699.00
933.22,910.99,1758.28,10652.00
933.17,910.95,1757.78,10647.00
933.12,910.91,1757.28,10657.00
933.07,910.87,1756.77,10622.00
933.02,910.83,1756.27,10563.00
932.96,910.78,1755.76,10587.00
932.91,910.74,1755.26,10655.00
932.86,910.70,1754.75,10676.00
932.81,910.66,1754.25,10631.00
932.76,910.62,1753.74,10623.00
932.70,910.57,1753.24,10667.00
932.65,910.53,1752.73,10695.00
932.60,910.49,1752.23,10700.00
932.55,910.45,1751.72,10630.00
932.50,910.41,1751.22,10581.00
932.44,910.36,1750.71,10628.00
932.39,910.32,1750.21,10628.00
932.34,910.28,1749.70,10629.00
932.29,910.24,1749.20,10679.00
932.23,910.20,1748.69,10601.00
932.18,910.15,1748.19,10637.00
932.13,910.11,1747.68,10693.00
932.08,910.07,1747.18,10644.00
932.03,910.03,1746.67,10651.00
931.97,909.99,1746.17,10638.00
931.92,909.95,1745.66,10684.00
931.87,909.90,1745.16,10662.00
931.82,909.86,1744.65,10740.00
931.77,909.82,1744.15,10630.00
931.71,909.78,1743.64,10632.00
931.66,909.74,1743.14,10651.00
931.61,909.69,1742.63,10689.00
931.56,909.65,1742.12,10645.00
931.51,909.61,1741.62,10675.00
931.45,909.57,1741.11,10563.00
931.40,909.53,1740.61,10651.00
931.35,909.48,1740.10,10657.00
931.30,909.44,1739.60,10573.00
931.25,909.40,1739.09,10622.00
931.19,909.36,1738.58,10631.00
931.14,909.32,1738.08,10706.00
931.09,909.27,1737.57,10705.00
931.04,909.23,1737.06,10681.00
930.98,909.19,1736.56,10636.00
930.93,909.15,1736.05,10673.00
930.88,909.11,1735.55,10570.00
930.83,909.06,1735.04,10603.00
930.78,909.02,1734.53,10614.00
930.72,908.98,1734.03,10654.00
930.67,908.94,1733.52,10712.00
930.62,908.90,1733.01,10610.00
930.57,908.85,1732.51,10642.00
930.52,908.81,1732.00,10638.00
930.46,908.77,1731.49,10577.00
930.41,908.73,1730.99,10661.00
930.36,908.69,1730.48,10667.00
930.31,908.64,1729.97,10668.00
930.26,908.60,1729.47,10617.00
930.20,908.56,1728.96,10654.00
930.15,908.52,1728.45,10701.00
930.10,908.48,1727.95,10654.00
930.05,908.44,1727.44,10659.00
929.99,908.39,1726.93,10686.00
929.94,908.35,1726.42,10656.00
929.89,908.31,1725.92,10614.00
929.84,908.27,1725.41,10651.00
929.79,908.23,1724.90,10683.00
929.73,908.18,1724.40,10702.00
929.68,908.14,1723.89,10612.00
929.63,908.10,1723.38,10629.00
929.58,908.06,1722.87,10680.00
929.53,908.02,1722.37,10676.00
929.47,907.97,1721.86,10665.00
929.42,907.93,1721.35,10662.00
929.37,907.89,1720.84,10633.00
929.32,907.85,1720.33,10673.00
929.27,907.81,1719.83,10624.00
929.21,907.76,1719.32,10657.00
929.16,907.72,1718.81,10621.00
929.11,907.68,1718.30,10660.00
929.06,907.64,1717.80,10628.00
929.00,907.60,1717.29,10632.00
928.95,907.55,1716.78,10695.00
928.90,907.51,1716.27,10674.00
928.85,907.47,1715.76,10579.00
928.80,907.43,1715.25,10681.00
928.74,907.39,1714.75,10701.00
928.69,907.34,1714.24,10650.00
928.64,907.30,1713.73,10599.00
928.59,907.26,1713.22,10679.00
928.54,907.22,1712.71,10681.00
928.48,907.18,1712.20,10667.00
928.43,907.13,1711.70,10597.00
928.38,907.09,1711.19,10672.00
928.33,907.05,1710.68,10670.00
928.28,907.01,1710.17,10638.00
928.22,906.97,1709.66,10653.00
928.17,906.93,1709.15,10638.00
928.12,906.88,1708.64,10593.00
928.07,906.84,1708.14,10677.00
928.02,906.80,1707.63,10641.00
927.96,906.76,1707.12,10629.00
927.91,906.72,1706.61,10588.00
927.86,906.67,1706.10,10572.00
927.81,906.63,1705.59,10610.00
927.75,906.59,1705.08,10647.00
927.70,906.55,1704.57,10667.00
927.65,906.51,1704.06,10692.00
927.60,906.46,1703.55,10605.00
927.55,906.42,1703.04,10591.00
927.49,906.38,1702.54,10623.00
927.44,906.34,1702.03,10642.00
927.39,906.30,1701.52,10678.00
927.34,906.25,1701.01,10572.00
927.29,906.21,1700.50,10561.00
927.23,906.17,1699.99,10614.00
927.18,906.13,1699.48,10634.00
927.13,906.09,1698.97,10653.00
927.08,906.04,1698.46,10610.00
927.03,906.00,1697.95,10622.00
926.97,905.96,1697.44,10577.00
926.92,905.92,1696.93,10520.00
926.87,905.88,1696.42,10550.00
926.82,905.83,1695.91,10620.00
926.76,905.79,1695.40,10555.00
926.71,905.75,1694.89,10598.00
926.66,905.71,1694.38,10597.00
926.61,905.67,1693.87,10595.00
926.56,905.62,1693.36,10559.00
926.50,905.58,1692.85,10605.00
926.45,905.54,1692.34,10574.00
926.40,905.50,1691.83,10645.00
926.35,905.46,1691.32,10583.00
926.30,905.41,1690.81,10626.00
926.24,905.37,1690.30,10573.00
926.19,905.33,1689.79,10547.00
926.14,905.29,1689.28,10497.00
926.09,905.25,1688.76,10558.00
926.04,905.21,1688.25,10574.00
925.98,905.16,1687.74,10517.00
925.93,905.12,1687.23,10496.00
925.88,905.08,1686.72,10550.00
925.83,905.04,1686.21,10489.00
925.77,905.00,1685.70,10567.00
925.72,904.95,1685.19,10547.00
925.67,904.91,1684.68,10519.00
925.62,904.87,1684.17,10532.00
925.57,904.83,1683.66,10478.00
925.51,904.79,1683.14,10532.00
925.46,904.74,1682.63,10477.00
925.41,904.70,1682.12,10442.00
925.36,904.66,1681.61,10494.00
925.31,904.62,1681.10,10426.00
925.25,904.58,1680.59,10414.00
925.20,904.53,1680.08,10416.00
925.15,904.49,1679.56,10425.00
925.10,904.45,1679.05,10390.00
925.05,904.41,1678.54,10407.00
924.99,904.37,1678.03,10427.00
924.94,904.32,1677.52,10435.00
924.89,904.28,1677.01,10435.00
924.84,904.24,1676.49,10321.00
924.79,904.20,1675.98,10375.00
924.73,904.16,1675.47,10361.00
924.68,904.11,1674.96,10358.00
924.63,904.07,1674.45,10361.00
924.58,904.03,1673.94,10337.00
924.52,903.99,1673.42,10349.00
924.47,903.95,1672.91,10313.00
924.42,903.90,1672.40,10298.00
924.37,903.86,1671.89,10302.00
924.32,903.82,1671.37,10302.00
924.26,903.78,1670.86,10271.00
924.21,903.74,1670.35,10238.00
924.16,903.70,1669.84,10241.00
924.11,903.65,1669.32,10217.00
924.06,903.61,1668.81,10214.00
924.00,903.57,1668.30,10214.00
923.95,903.53,1667.79,10201.00
923.90,903.49,1667.27,10217.00
923.85,903.44,1666.76,10189.00
923.80,903.40,1666.25,10159.00
923.74,903.36,1665.74,10157.00
923.69,903.32,1665.22,10138.00
923.64,903.28,1664.71,10113.00
923.59,903.23,1664.20,10160.00
923.53,903.19,1663.68,10031.00
923.48,903.15,1663.17,10137.00
923.43,903.11,1662.66,10074.00
923.38,903.07,1662.15,10113.00
923.33,903.02,1661.63,10127.00
923.27,902.98,1661.12,10093.00
923.22,902.94,1660.61,10089.00
923.17,902.90,1660.09,10096.00
